price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,product_color,product_variation_size_id,product_variation_inventory,shipping_option_price,shipping_is_express,countries_shipped_to,has_urgency_banner,origin_country,merchant_rating_count,merchant_rating,merchant_has_profile_picture
16.0,14,10,0,3.0,3,0.0,2.0,0.0,0.0,1.0,0,0,0,0,green,S,2,4,0,34,0.0,CN,31,3.548387096774193,0
13.0,50,1000,0,4.03,855,451.0,165.0,120.0,51.0,68.0,0,0,0,0,red & blue,S,50,3,0,32,0.0,CN,9136,4.085704903677758,1
9.0,8,10000,0,3.18,1783,535.0,289.0,344.0,189.0,426.0,0,0,0,0,white,S,50,3,0,24,1.0,CN,10474,3.908535421042582,0
7.0,6,100,0,3.8,61,28.0,11.0,12.0,2.0,8.0,0,0,0,0,black,S,50,2,0,45,1.0,CN,139607,4.2163859978367855,0
11.0,20,100,0,3.43,14,5.0,3.0,2.0,1.0,3.0,0,0,0,0,white,S,50,2,0,34,1.0,CN,3120,4.174679487179486,0
5.84,11,1000,0,4.19,307,171.0,71.0,35.0,12.0,18.0,0,0,0,0,blue,XXS,1,1,0,40,0.0,CN,10377,4.172785968969837,0
1.0,11,1000,1,3.8,5,3.0,0.0,1.0,0.0,1.0,0,0,0,0,blue,XXS,37,1,0,41,0.0,CN,8197,3.858118823959985,0
11.0,60,1000,1,3.38,37,15.0,3.0,9.0,1.0,9.0,0,0,0,0,white,S,49,2,0,25,1.0,CN,703,3.9601706970128014,0
9.0,8,5000,1,4.03,889,464.0,178.0,126.0,52.0,69.0,0,0,0,0,blue & pink,L,50,3,0,33,0.0,CN,16013,4.1088490601386365,0
6.0,56,1000,1,3.5,938,349.0,171.0,173.0,88.0,157.0,0,0,0,0,RED,choose a size,1,2,0,28,0.0,CN,13309,3.876699977458863,0
1.0,10,100,0,3.56,52,22.0,8.0,9.0,3.0,10.0,0,0,0,0,white,XXS,2,1,0,40,1.0,,91631,3.83793694273772,1
9.0,8,5000,0,4.06,743,400.0,142.0,103.0,45.0,53.0,0,0,0,0,orange,S,50,3,0,41,1.0,CN,20681,3.9993714037038823,1
6.0,6,100,0,4.0,8,5.0,0.0,1.0,2.0,0.0,0,0,0,0,white & green,XS,5,2,0,23,0.0,CN,127,3.874015748031496,0
11.0,68,1000,0,4.13,211,120.0,37.0,31.0,8.0,15.0,0,0,0,0,red,M,50,2,0,40,0.0,CN,11597,4.2152280762266106,0
7.0,6,50,0,4.0,4,3.0,0.0,0.0,0.0,1.0,0,0,0,0,blue,XS,50,2,0,139,1.0,CN,34,4.352941176470588,0
5.0,38,50,1,5.0,2,2.0,0.0,0.0,0.0,0.0,0,0,0,0,khaki,XS,17,1,0,33,0.0,CN,9,3.6666666666666665,0
2.72,3,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,0,0,0,0,yellow,S,1,1,0,35,0.0,CN,14482,4.001588178428394,0
5.87,11,1000,1,3.91,209,100.0,41.0,34.0,17.0,17.0,0,0,0,0,white,S,6,1,0,29,1.0,CN,6187,4.391304347826087,0
11.0,10,5000,0,3.72,1008,447.0,201.0,135.0,81.0,144.0,0,0,0,0,white,M,50,2,0,25,0.0,CN,61895,4.268002261895145,1
8.0,10,100,0,2.71,7,1.0,1.0,2.0,1.0,2.0,0,0,0,0,red,XS,4,3,0,20,0.0,CN,224,3.8928571428571432,0
14.0,67,1000,0,3.81,187,84.0,40.0,28.0,14.0,21.0,0,0,0,0,blue,M,50,4,0,40,0.0,CN,11900,4.150756302521009,1
2.0,9,100,0,3.47,32,11.0,6.0,5.0,7.0,3.0,0,0,0,0,white,XXS,1,1,0,40,0.0,CN,4856,4.167627677100494,0
8.0,7,10000,1,3.93,1670,823.0,340.0,250.0,89.0,168.0,0,0,0,0,yellow,M,50,3,0,30,0.0,CN,66644,4.137581777804454,1
5.79,30,1000,1,3.41,212,73.0,49.0,23.0,25.0,42.0,0,0,0,0,white,XS,50,2,0,118,0.0,CN,21012,4.189843898724538,1
8.0,22,100,1,3.74,47,24.0,5.0,6.0,6.0,6.0,0,0,0,0,winered,S,50,3,0,41,0.0,CN,50593,3.876761607336984,0
4.94,5,10000,1,3.93,1331,659.0,255.0,199.0,101.0,117.0,0,0,0,0,black & green,M,6,1,0,49,0.0,CN,55670,4.1214837434884135,1
8.0,7,10000,0,3.82,2520,1220.0,433.0,365.0,203.0,299.0,0,0,0,0,orange,M,50,3,0,14,1.0,CN,8821,3.872009976193176,0
11.0,10,100,1,3.46,50,20.0,7.0,8.0,6.0,9.0,0,0,0,0,black,S,50,3,0,41,0.0,CN,225438,4.301120485454981,0
8.0,33,10,0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,black,S,50,2,0,25,0.0,CN,1496,4.1697860962566855,0
9.0,33,50,1,4.5,4,2.0,2.0,0.0,0.0,0.0,0,0,0,0,white,S,50,3,0,41,0.0,CN,8397,4.120281052756937,0
7.0,6,100,0,4.26,53,30.0,14.0,5.0,1.0,3.0,0,0,0,0,armygreen,S,50,2,0,31,1.0,CN,2055,3.8379562043795623,1
11.0,10,10000,0,4.24,1045,644.0,183.0,114.0,38.0,66.0,0,0,0,0,purple,S,50,3,0,36,0.0,CN,9200,4.289673913043479,0
8.0,92,100,0,3.56,16,6.0,5.0,0.0,2.0,3.0,0,0,0,0,yellow,S,50,2,0,55,0.0,CN,7076,3.968061051441493,0
5.83,5,10000,1,4.22,2055,1162.0,488.0,212.0,83.0,110.0,0,0,0,0,whitefloral,S,1,1,0,35,0.0,CN,126370,4.14695734747171,1
8.0,7,1000,0,3.42,373,144.0,57.0,60.0,35.0,77.0,0,0,0,0,pink,S,50,2,0,63,0.0,CN,1322,3.965204236006052,0
5.77,5,100,1,4.0,4,1.0,2.0,1.0,0.0,0.0,0,0,0,0,armygreen,S,45,1,0,31,1.0,CN,8996,3.915740329035127,0
5.9,5,10000,0,3.64,1933,867.0,298.0,299.0,151.0,318.0,0,0,0,0,grey,XS,4,1,0,30,0.0,CN,2366,3.951817413355875,0
6.0,20,100,0,3.08,13,4.0,2.0,2.0,1.0,4.0,0,0,0,0,red,S,50,2,0,43,0.0,CN,2776,3.931195965417868,0
7.0,6,50000,1,4.41,17444,11548.0,3191.0,1632.0,507.0,566.0,1,0,1,0,green,M,2,2,0,35,0.0,CN,126370,4.14695734747171,1
8.0,7,10000,1,3.7,1404,593.0,278.0,232.0,124.0,177.0,0,0,0,0,pink,M,1,2,0,48,0.0,CN,4178,3.9375299186213497,0
12.0,11,1000,0,3.81,341,163.0,63.0,48.0,21.0,46.0,0,0,0,0,black & green,S,50,3,0,13,0.0,CN,2248,4.150355871886121,0
5.78,8,20000,1,4.0,3975,2054.0,774.0,576.0,242.0,329.0,0,0,0,0,pink,XS,50,1,0,29,0.0,CN,6555,4.184134248665141,0
12.0,17,5000,0,3.94,387,189.0,76.0,67.0,21.0,34.0,0,0,0,0,white,S,50,3,0,43,0.0,CN,1288,3.978260869565217,0
11.0,10,20000,1,4.07,3070,1635.0,642.0,392.0,177.0,224.0,0,0,0,0,floral,L,50,2,0,35,0.0,CN,12974,3.965700632033297,0
8.0,51,100,0,4.29,31,19.0,5.0,5.0,1.0,1.0,1,0,1,0,pink,S,50,2,0,43,0.0,CN,5846,3.8325350667122815,0
11.0,10,100,1,3.46,50,20.0,7.0,8.0,6.0,9.0,0,0,0,0,black,S,50,3,0,41,1.0,CN,225438,4.301120485454981,0
5.77,48,100000,0,4.1,20744,11184.0,4152.0,2919.0,1174.0,1315.0,0,0,0,0,black,XS,50,2,0,46,0.0,CN,330405,4.06734764909732,1
9.0,8,20000,0,3.7,3820,1726.0,654.0,568.0,324.0,548.0,0,0,0,0,grey,M,44,3,0,20,0.0,CN,15748,4.064643129286258,0
1.72,2,100,1,3.77,30,15.0,3.0,5.0,4.0,3.0,0,0,0,0,fluorescentgreen,XS,10,1,0,48,0.0,CN,32168,3.8845436458592384,0
1.86,9,100,1,3.57,42,17.0,9.0,4.0,5.0,7.0,0,0,0,0,pink,XS,2,1,0,40,1.0,CN,7248,3.9430187637969096,0
14.0,92,100,1,4.54,13,10.0,2.0,0.0,0.0,1.0,0,0,0,0,black,XS,50,3,0,36,0.0,CN,54,4.185185185185185,0
3.69,4,1000,0,3.64,212,95.0,33.0,32.0,16.0,36.0,0,0,0,0,red,XS,5,1,0,24,0.0,CN,1559,4.039127645926877,0
5.79,42,1000,0,3.32,121,36.0,24.0,23.0,19.0,19.0,0,0,0,0,red,S,50,2,0,43,1.0,CN,5083,3.9474719653747785,0
11.0,30,100,1,4.11,28,17.0,4.0,3.0,1.0,3.0,2,1,0,1,orange & camouflage,L,2,3,0,45,0.0,CN,9541,4.210460119484331,0
9.0,8,100,1,3.18,72,17.0,19.0,12.0,8.0,16.0,0,0,0,0,red,S,10,3,0,26,0.0,CN,288,3.7291666666666665,0
6.0,8,10000,0,3.96,1338,685.0,257.0,187.0,72.0,137.0,0,0,0,0,black,L,50,2,0,43,0.0,CN,54504,3.80168428005284,1
20.0,17,100,1,2.8,15,2.0,3.0,5.0,0.0,5.0,0,0,0,0,green,S,50,6,0,36,0.0,CN,67,3.2985074626865667,0
5.66,5,5000,0,3.89,1161,558.0,242.0,159.0,75.0,127.0,0,0,0,0,black,S,50,2,0,42,1.0,CN,99283,4.285597735765438,0
8.0,65,100,0,3.97,29,18.0,1.0,5.0,1.0,4.0,0,0,0,0,white,S,1,2,0,33,0.0,CN,239,3.882845188284519,0
8.0,7,1000,1,3.61,668,254.0,155.0,102.0,61.0,96.0,0,0,0,0,lightyellow,XXS,10,2,0,39,0.0,CN,40616,4.098557218830018,0
6.0,6,1000,1,3.82,134,62.0,26.0,23.0,6.0,17.0,0,0,0,0,grey,S,1,2,0,35,0.0,CN,670,3.844776119402985,0
11.0,10,5000,0,3.96,1556,743.0,338.0,258.0,110.0,107.0,0,0,0,0,black,S,50,3,0,23,0.0,CN,4610,4.252711496746204,0
7.0,6,1000,1,4.2,107,66.0,13.0,18.0,3.0,7.0,0,0,0,0,white,XS,3,2,0,26,0.0,CN,247,3.94331983805668,0
11.0,10,10000,0,3.77,1694,725.0,376.0,272.0,112.0,209.0,0,0,0,0,red,XS,50,3,0,31,0.0,CN,13946,4.000143410296859,0
5.8100000000000005,30,100,0,2.61,18,3.0,2.0,5.0,1.0,7.0,0,0,0,0,green,XS,3,2,0,41,1.0,CN,26473,3.8947606995807047,0
14.0,12,10000,0,3.93,2946,1427.0,614.0,452.0,180.0,273.0,0,0,0,0,blue,XXXXXL,36,4,0,26,1.0,CN,32858,3.88553776857995,0
5.0,51,10,0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,black,XS,1,1,0,36,0.0,CN,295,3.9898305084745758,0
5.0,5,100,1,4.3,10,6.0,2.0,1.0,1.0,0.0,0,0,0,0,coolblack,XXS,3,2,0,22,0.0,CN,10799,4.167978516529308,0
11.0,10,1000,0,4.12,249,143.0,48.0,24.0,12.0,22.0,0,0,0,0,multicolor,S,50,2,0,21,0.0,CN,8989,3.851930136833908,1
12.0,67,10,0,3.67,3,2.0,0.0,0.0,0.0,1.0,0,0,0,0,pink,XS,20,3,0,32,0.0,CN,238,4.008403361344539,0
5.68,5,10,0,4.5,2,1.0,1.0,0.0,0.0,0.0,0,0,0,0,purple,,50,2,0,109,0.0,CN,160,4.5125,1
11.0,10,100,1,4.0,12,7.0,1.0,2.0,1.0,1.0,0,0,0,0,black,S,50,2,0,32,0.0,VE,546,4.014652014652015,0
17.0,15,10000,0,4.16,3040,1782.0,565.0,332.0,123.0,238.0,1,0,1,0,camouflage,S,50,5,0,52,0.0,CN,12881,4.35261237481562,1
7.0,43,100,0,3.71,21,10.0,5.0,0.0,2.0,4.0,0,0,0,0,purple,S,9,2,0,40,0.0,CN,9078,3.878166997135933,0
12.0,85,50,1,4.75,4,3.0,1.0,0.0,0.0,0.0,0,0,0,0,green,S,18,3,0,35,0.0,CN,57,4.175438596491228,0
7.0,6,100,0,5.0,2,2.0,0.0,0.0,0.0,0.0,0,0,0,0,black,S,50,2,0,41,0.0,CN,9703,3.9707307018447904,0
7.0,33,50,0,3.0,2,0.0,1.0,0.0,1.0,0.0,0,0,0,0,blue,S,50,2,0,41,0.0,CN,25222,4.001546269130125,0
11.0,59,1000,0,4.11,135,75.0,24.0,19.0,10.0,7.0,0,0,0,0,yellow,M,50,2,0,41,0.0,CN,6715,4.0571854058078936,1
12.0,43,100,0,3.59,27,7.0,9.0,7.0,1.0,3.0,0,0,0,0,lightpink,M,50,3,0,42,0.0,CN,3237,3.948409020698177,0
13.0,51,5000,0,3.61,127,59.0,16.0,20.0,7.0,25.0,0,0,0,0,yellow,S,50,3,0,43,1.0,CN,17244,3.9464161447459984,0
2.72,9,1,0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,orange,XS,1,1,0,33,0.0,CN,378,3.5978835978835977,0
6.0,6,20000,1,3.99,1600,809.0,322.0,238.0,100.0,131.0,0,0,0,0,green,L,50,2,0,33,0.0,CN,16013,4.1088490601386365,0
9.0,56,100,1,4.03,30,17.0,6.0,2.0,1.0,4.0,0,0,0,0,pink & black,XXS,3,3,0,19,0.0,US,49,3.7142857142857135,0
5.0,5,50,0,5.0,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,yellow,XS,5,2,0,47,0.0,CN,4,3.75,0
5.86,5,1000,0,3.73,150,71.0,23.0,23.0,11.0,22.0,0,0,0,0,white,XS,6,1,0,30,0.0,CN,9308,3.993016759776536,0
2.0,2,10000,1,3.99,980,520.0,180.0,120.0,67.0,93.0,0,0,0,0,green,S,1,1,0,23,0.0,CN,12309,4.0451702006661785,1
7.0,6,5000,0,4.38,996,654.0,178.0,94.0,32.0,38.0,1,0,1,0,grey,XS,8,2,0,41,1.0,CN,130598,3.946790915634237,0
5.66,6,100,0,3.08,13,3.0,3.0,3.0,0.0,4.0,0,0,0,0,black,S,50,2,0,35,0.0,CN,2782,4.06901509705248,0
13.0,17,5000,0,4.11,792,450.0,150.0,88.0,35.0,69.0,0,0,0,0,pink,XS,6,3,0,43,1.0,CN,4571,3.910741632028002,0
8.0,7,5000,1,3.6,1254,500.0,241.0,207.0,126.0,180.0,0,0,0,0,yellow,L,27,3,0,28,0.0,CN,88193,4.0808907736441675,1
11.0,10,1000,1,3.78,299,120.0,73.0,55.0,22.0,29.0,0,0,0,0,grey,EU 35,5,3,0,35,0.0,CN,433,3.896073903002309,0
8.0,7,20000,0,4.05,8904,4640.0,1964.0,1121.0,493.0,686.0,0,0,0,0,black,S,50,2,0,31,1.0,CN,19221,4.168097393475886,0
16.0,76,100,1,3.53,38,15.0,9.0,2.0,5.0,7.0,0,0,0,0,red,S,50,5,0,58,0.0,CN,1088,4.272058823529412,1
11.0,10,100,0,4.6,5,3.0,2.0,0.0,0.0,0.0,0,0,0,0,silver,4,12,3,0,42,0.0,CN,38936,4.122996712553935,1
11.0,10,5000,0,3.72,1008,447.0,201.0,135.0,81.0,144.0,0,0,0,0,white,M,50,2,0,25,1.0,CN,61895,4.268002261895145,1
8.0,7,20000,0,4.16,6860,3906.0,1326.0,869.0,343.0,416.0,1,0,1,0,black,S,50,2,0,32,0.0,CN,43676,4.283611136550967,0
14.0,12,1000,1,4.04,481,267.0,86.0,60.0,18.0,50.0,0,0,0,0,lightblue,M,50,4,0,41,0.0,CN,26473,3.8947606995807047,0
7.0,6,100,0,3.6,25,10.0,4.0,5.0,3.0,3.0,0,0,0,0,black,S,50,2,0,127,0.0,CN,483,4.155279503105589,0
12.0,11,20000,1,3.89,2294,1099.0,449.0,362.0,154.0,230.0,0,0,0,0,pink,L,25,3,0,50,0.0,CN,59903,4.153665091898569,1
7.0,50,1000,0,3.49,49,16.0,11.0,10.0,5.0,7.0,0,0,0,0,Army green,S,50,2,0,132,0.0,CN,1290,4.011627906976744,0
2.0,56,100,1,3.07,28,11.0,3.0,1.0,3.0,10.0,0,0,0,0,lightblue,S,2,1,0,26,0.0,CN,4435,3.696054114994363,0
6.0,16,100,1,3.11,27,6.0,6.0,5.0,5.0,5.0,0,0,0,0,white,S,25,2,0,18,1.0,CN,9177,3.8740329083578513,0
8.0,7,1000,1,4.07,267,148.0,44.0,40.0,15.0,20.0,0,0,0,0,lightgreen,S,50,3,0,38,1.0,CN,2745,4.1256830601092895,0
8.0,84,20000,0,3.96,8960,4468.0,1850.0,1277.0,583.0,782.0,0,0,0,0,,S,50,3,0,125,1.0,CN,48654,4.204916348090599,0
8.0,25,5000,0,4.0,32,19.0,5.0,1.0,3.0,4.0,0,0,0,0,lightblue,XS,50,3,0,43,1.0,CN,13127,4.1239430182067505,0
11.0,22,1000,1,3.97,359,180.0,74.0,49.0,28.0,28.0,0,0,0,0,black,XS,50,2,0,30,1.0,CN,4508,4.330745341614906,0
3.66,4,5000,0,3.19,1080,327.0,170.0,211.0,128.0,244.0,0,0,0,0,green,S,2,1,0,45,0.0,CN,10600,3.8675471698113206,0
1.68,2,100,1,3.67,12,6.0,2.0,1.0,0.0,3.0,0,0,0,0,white,XXS,1,1,0,40,0.0,CN,1047,3.9560649474689593,0
13.0,11,100,0,2.5,2,0.0,1.0,0.0,0.0,1.0,0,0,0,0,white,S,36,3,0,29,1.0,CN,31,3.7741935483870965,0
13.0,11,1000,1,3.82,11,5.0,3.0,1.0,0.0,2.0,0,0,0,0,yellow,S,30,3,0,43,0.0,CN,80093,4.006692220293909,0
11.0,16,100,1,2.92,12,2.0,1.0,6.0,0.0,3.0,0,0,0,0,winered,S,50,2,0,16,1.0,US,18,3.6666666666666665,0
7.0,9,1000,0,3.75,219,101.0,36.0,38.0,15.0,29.0,0,0,0,0,black,S,2,2,0,44,1.0,CN,30643,4.152726560715335,1
4.8100000000000005,76,10000,0,4.16,3135,1695.0,721.0,416.0,140.0,163.0,0,0,0,0,purple,S,45,1,0,39,0.0,CN,24564,3.9288796612929486,0
9.0,8,5000,0,4.29,761,476.0,128.0,90.0,34.0,33.0,0,0,0,0,winered,M,50,3,0,55,0.0,US,5819,4.151916136793264,0
18.0,115,100,0,3.68,177,73.0,36.0,31.0,12.0,25.0,0,0,0,0,red,M,34,5,0,51,1.0,CN,300,4.156666666666666,0
7.0,6,5000,1,3.63,601,245.0,102.0,121.0,55.0,78.0,0,0,0,0,khaki,S,50,2,0,41,0.0,CN,12033,4.0247652289537115,0
16.0,14,10,0,3.0,3,0.0,2.0,0.0,0.0,1.0,0,0,0,0,green,S,2,4,0,34,1.0,CN,31,3.548387096774193,0
5.0,8,1000,1,3.06,31,9.0,5.0,5.0,3.0,9.0,0,0,0,0,mintgreen,XXS,1,1,0,40,1.0,CN,8484,3.995167373880245,0
1.68,2,1000,1,3.76,51,20.0,13.0,10.0,2.0,6.0,0,0,0,0,black,XS,1,1,0,30,1.0,CN,365,3.9424657534246577,0
7.0,6,100,1,3.81,21,8.0,4.0,6.0,3.0,0.0,0,0,0,0,blue,1m by 3m,3,2,0,49,0.0,CN,44,3.772727272727273,0
6.0,7,50,0,2.67,3,1.0,0.0,0.0,1.0,1.0,0,0,0,0,pink,S,46,2,0,8,1.0,CN,1374,4.0589519650655035,0
13.0,19,1000,1,3.76,151,70.0,31.0,16.0,12.0,22.0,0,0,0,0,black,S,50,3,0,12,1.0,CN,171,3.9415204678362574,0
11.0,89,100,0,3.46,24,8.0,5.0,6.0,0.0,5.0,0,0,0,0,black,S,50,2,0,52,1.0,CN,73595,4.38569196276921,1
7.0,6,5000,0,3.29,1042,384.0,146.0,158.0,98.0,256.0,0,0,0,0,grey,S,4,2,0,46,0.0,CN,3460,3.8708092485549135,0
12.0,11,100,0,2.0,3,0.0,1.0,0.0,0.0,2.0,0,0,0,0,pink,XS,50,3,0,38,0.0,CN,5301,4.001131861912847,0
6.0,17,100,0,4.14,93,50.0,18.0,15.0,8.0,2.0,0,0,0,0,black,M,37,2,0,74,1.0,US,629,4.166931637519872,0
6.0,17,5000,0,3.28,449,165.0,50.0,83.0,49.0,102.0,0,0,0,0,white,3XL,50,2,0,49,0.0,CN,7851,4.216278181123424,0
